Date,PX_LAST
2000/1/3,993.01
2000/1/4,997.38
2000/1/5,992.11
2000/1/6,995.14
2000/1/7,998.03
2000/1/10,995.95
2000/1/11,990.75
2000/1/12,989.45
2000/1/13,994.04
2000/1/14,992.95
2000/1/18,990.48
2000/1/19,992.17
2000/1/20,990.93
2000/1/21,992.05
2000/1/24,997.38
2000/1/25,997.68
2000/1/26,998.8
2000/1/27,999.48
2000/1/28,1000.47
2000/1/31,995.43
2000/2/1,997.91
2000/2/2,997.25
2000/2/3,1003.1
2000/2/4,999.57
2000/2/7,995.22
2000/2/8,998.77
2000/2/9,995.71
2000/2/10,992.24
2000/2/11,994.01
2000/2/14,998.75
2000/2/15,997.72
2000/2/16,997.67
2000/2/17,997.64
2000/2/18,1001.71
2000/2/22,1009.07
2000/2/23,1004.24
2000/2/24,1007.63
2000/2/25,1007.41
2000/2/28,1002.82
2000/2/29,1004.66
2000/3/1,1005.03
2000/3/2,1005.22
2000/3/3,1007.11
2000/3/6,1005.78
2000/3/7,1007.3
2000/3/8,1006.97
2000/3/9,1008.01
2000/3/10,1005.43
2000/3/13,1006.52
2000/3/14,1004.17
2000/3/15,1003.91
2000/3/16,1005.76
2000/3/17,1008.31
2000/3/20,1009.28
2000/3/21,1010.44
2000/3/22,1011.33
2000/3/23,1012.11
2000/3/24,1007.6
2000/3/27,1008.21
2000/3/28,1008.69
2000/3/29,1009.05
2000/3/30,1013.8
2000/3/31,1013.22
2000/4/3,1015.33
2000/4/4,1021.25
2000/4/5,1018.68
2000/4/6,1018.28
2000/4/7,1022.1
2000/4/10,1023.53
2000/4/11,1017.81
2000/4/12,1013.34
2000/4/13,1014.75
2000/4/14,1016.55
2000/4/17,1011.07
2000/4/18,1010.63
2000/4/19,1014.43
2000/4/20,1015.26
2000/4/24,1015
2000/4/25,1009.42
2000/4/26,1008.41
2000/4/27,1003.67
2000/4/28,1004.32
2000/5/1,1003.24
2000/5/2,1001.05
2000/5/3,997.13
2000/5/4,991.73
2000/5/5,988.72
2000/5/8,986.06
2000/5/9,986.94
2000/5/10,987.24
2000/5/11,988.04
2000/5/12,983.91
2000/5/15,988.62
2000/5/16,990.92
2000/5/17,988.35
2000/5/18,984.73
2000/5/19,987.06
2000/5/22,991.01
2000/5/23,990.46
2000/5/24,989.94
2000/5/25,994.99
2000/5/26,998.17
2000/5/30,996.6
2000/5/31,1000.58
2000/6/1,1006.12
2000/6/2,1012.57
2000/6/5,1015.74
2000/6/6,1016.26
2000/6/7,1017.13
2000/6/8,1017.99
2000/6/9,1017.77
2000/6/12,1020.74
2000/6/13,1020.87
2000/6/14,1024.46
2000/6/15,1022.91
2000/6/16,1026.2
2000/6/19,1025.3
2000/6/20,1023.92
2000/6/21,1019.54
2000/6/22,1017.82
2000/6/23,1014.29
2000/6/26,1018.6
2000/6/27,1019.62
2000/6/28,1018.65
2000/6/29,1023.08
2000/6/30,1025.71
2000/7/3,1028.54
2000/7/5,1030.08
2000/7/6,1027.46
2000/7/7,1030.27
2000/7/10,1030.72
2000/7/11,1030.37
2000/7/12,1030.88
2000/7/13,1035.43
2000/7/14,1031.33
2000/7/17,1029.2
2000/7/18,1029.61
2000/7/19,1029.8
2000/7/20,1037.73
2000/7/21,1038.65
2000/7/24,1036.95
2000/7/25,1037.41
2000/7/26,1037.24
2000/7/27,1039.44
2000/7/28,1037.43
2000/7/31,1038.15
2000/8/1,1040.2
2000/8/2,1041.14
2000/8/3,1042.79
2000/8/4,1045.5
2000/8/7,1044.26
2000/8/8,1046.28
2000/8/9,1046.96
2000/8/10,1049.13
2000/8/11,1046.34
2000/8/14,1047.45
2000/8/15,1045.94
2000/8/16,1044.94
2000/8/17,1045.24
2000/8/18,1047.02
2000/8/21,1046.07
2000/8/22,1046.45
2000/8/23,1049.48
2000/8/24,1050.22
2000/8/25,1050.58
2000/8/28,1048.61
2000/8/29,1046.82
2000/8/30,1046.94
2000/8/31,1051.14
2000/9/1,1053.2
2000/9/5,1054.29
2000/9/6,1052.29
2000/9/7,1050.63
2000/9/8,1052
2000/9/11,1050.72
2000/9/12,1050.71
2000/9/13,1053.07
2000/9/14,1050.47
2000/9/15,1049.41
2000/9/18,1048.84
2000/9/19,1050.69
2000/9/20,1048.87
2000/9/21,1050.55
2000/9/22,1052.38
2000/9/25,1053.5
2000/9/26,1056.76
2000/9/27,1055.77
2000/9/28,1056.12
2000/9/29,1056.9
2000/10/2,1055.75
2000/10/3,1054.24
2000/10/4,1052.63
2000/10/5,1054.17
2000/10/6,1055.88
2000/10/10,1054.66
2000/10/11,1054.32
2000/10/12,1055.94
2000/10/13,1054.5
2000/10/16,1054.45
2000/10/17,1056.72
2000/10/18,1055.16
2000/10/19,1055.85
2000/10/20,1058.34
2000/10/23,1061.75
2000/10/24,1061.77
2000/10/25,1059.1
2000/10/26,1059.48
2000/10/27,1058.49
2000/10/30,1058.67
2000/10/31,1057.16
2000/11/1,1059.18
2000/11/2,1060.14
2000/11/3,1056.33
2000/11/6,1055.68
2000/11/7,1055.82
2000/11/8,1056.94
2000/11/9,1059.38
2000/11/10,1059.26
2000/11/13,1061.33
2000/11/14,1062.44
2000/11/15,1062.73
2000/11/16,1063.41
2000/11/17,1060.84
2000/11/20,1059.27
2000/11/21,1059.54
2000/11/22,1062.32
2000/11/24,1060.85
2000/11/27,1060.12
2000/11/28,1061.68
2000/11/29,1064.17
2000/11/30,1069.71
2000/12/1,1066.6
2000/12/4,1066.94
2000/12/5,1071.62
2000/12/6,1077.58
2000/12/7,1078.36
2000/12/8,1077.35
2000/12/11,1077.6
2000/12/12,1078.83
2000/12/13,1083.96
2000/12/14,1087.56
2000/12/15,1087.26
2000/12/18,1088.4
2000/12/19,1086.89
2000/12/20,1091.37
2000/12/21,1091.65
2000/12/22,1093.29
2000/12/26,1093
2000/12/27,1090.07
2000/12/28,1088.88
2000/12/29,1089.65
2001/1/2,1100.86
2001/1/3,1094.35
2001/1/4,1100.92
2001/1/5,1109.07
2001/1/8,1112.19
2001/1/9,1108.58
2001/1/10,1103.38
2001/1/11,1104.97
2001/1/12,1098.81
2001/1/16,1100.84
2001/1/17,1106.14
2001/1/18,1112.35
2001/1/19,1109.54
2001/1/22,1108.14
2001/1/23,1105.59
2001/1/24,1107.14
2001/1/25,1110.07
2001/1/26,1110.7
2001/1/29,1109.73
2001/1/30,1114.42
2001/1/31,1120.84
2001/2/1,1126.22
2001/2/2,1121.32
2001/2/5,1119.59
2001/2/6,1114.53
2001/2/7,1114.46
2001/2/8,1114.9
2001/2/9,1118.76
2001/2/12,1117.03
2001/2/13,1115.74
2001/2/14,1113.13
2001/2/15,1112.17
2001/2/16,1116.96
2001/2/20,1116.89
2001/2/21,1114.13
